TIME,GEO,NACE_R2,Emissions
2008,Portugal,"Electricity, gas, steam and air conditioning supply",16639572.0
2008,Portugal,"Water supply; sewerage, waste management and remediation activities",6298471.3
2008,Portugal,Construction,2693007.2
2008,Portugal,Wholesale and retail trade; repair of motor vehicles and motorcycles,2697719.0
2008,Portugal,Transportation and storage,7216982.8
2008,Portugal,Accommodation and food service activities,676198.5
2008,Portugal,Information and communication,92298.3
2008,Portugal,Financial and insurance activities,149566.6
2008,Portugal,Real estate activities,26941.1
2008,Portugal,"Professional, scientific and technical activities",139563.3
2008,Portugal,Administrative and support service activities,395931.8
2008,Portugal,Public administration and defence; compulsory social security,747935.2
2008,Portugal,Education,117892.5
2008,Portugal,Human health and social work activities,678208.8
2008,Portugal,"Arts, entertainment and recreation",102281.0
2008,Portugal,Other service activities,97257.5
2008,Portugal,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Portugal,Activities of extraterritorial organisations and bodies,0.0
2008,Romania,Total - all NACE activities,136736634.09
2008,Romania,"Agriculture, forestry and fishing",21648221.14
2008,Romania,Mining and quarrying,9104981.87
2008,Romania,Manufacturing,36751336.68
2008,Romania,"Electricity, gas, steam and air conditioning supply",46279523.83
2008,Romania,"Water supply; sewerage, waste management and remediation activities",6273799.33
2008,Romania,Construction,3474487.15
2008,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,1475014.74
2008,Romania,Transportation and storage,8217837.49
2008,Romania,Accommodation and food service activities,188331.72
2008,Romania,Information and communication,292587.26
2008,Romania,Financial and insurance activities,225941.91
2008,Romania,Real estate activities,482166.35
2008,Romania,"Professional, scientific and technical activities",526411.73
2008,Romania,Administrative and support service activities,363659.74
2008,Romania,Public administration and defence; compulsory social security,421700.42
2008,Romania,Education,253251.07
2008,Romania,Human health and social work activities,344292.99
2008,Romania,"Arts, entertainment and recreation",112175.0
2008,Romania,Other service activities,300913.67
2008,Romania,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Romania,Activities of extraterritorial organisations and bodies,0.0
2008,Slovenia,Total - all NACE activities,17820913.66
2008,Slovenia,"Agriculture, forestry and fishing",2001353.41
2008,Slovenia,Mining and quarrying,434041.89
2008,Slovenia,Manufacturing,3812110.39
2008,Slovenia,"Electricity, gas, steam and air conditioning supply",6691077.32
2008,Slovenia,"Water supply; sewerage, waste management and remediation activities",805208.28
2008,Slovenia,Construction,1134201.55
2008,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,658350.97
2008,Slovenia,Transportation and storage,846113.25
2008,Slovenia,Accommodation and food service activities,200048.53
2008,Slovenia,Information and communication,83261.91
2008,Slovenia,Financial and insurance activities,84022.4
2008,Slovenia,Real estate activities,121173.92
